,Unnamed: 0,ID,Name,Age,Photo,Nationality,Flag,Overall,Potential,Club,Club Logo,Value,Wage,Special,Preferred Foot,International Reputation,Weak Foot,Skill Moves,Work Rate,Body Type,Real Face,Position,Jersey Number,Joined,Loaned From,Contract Valid Until,Height,Weight,LS,ST,RS,LW,LF,CF,RF,RW,LAM,CAM,RAM,LM,LCM,CM,RCM,RM,LWB,LDM,CDM,RDM,RWB,LB,LCB,CB,RCB,RB,Crossing,Finishing,HeadingAccuracy,ShortPassing,Volleys,Dribbling,Curve,FKAccuracy,LongPassing,BallControl,Acceleration,SprintSpeed,Agility,Reactions,Balance,ShotPower,Jumping,Stamina,Strength,LongShots,Aggression,Interceptions,Positioning,Vision,Penalties,Composure,Marking,StandingTackle,SlidingTackle,GKDiving,GKHandling,GKKicking,GKPositioning,GKReflexes,Release Clause
5018,5018,153160,R. Raldes,37,https://cdn.sofifa.org/players/4/19/153160.png,Bolivia,https://cdn.sofifa.org/flags/53.png,70,70,-,https://cdn.sofifa.org/flags/53.png,0.0,0.0,1574,Right,1.0,3.0,2.0,Medium/ Medium,Normal,No,,,,,,5'11,172lbs,,,,,,,,,,,,,,,,,,,,,,,,,,,25.0,36.0,72.0,56.0,19.0,41.0,32.0,51.0,33.0,57.0,47.0,46.0,59.0,66.0,58.0,74.0,58.0,53.0,75.0,47.0,74.0,65.0,26.0,48.0,77.0,64.0,79.0,70.0,70.0,16.0,8.0,11.0,12.0,13.0,0.0
6736,6736,175393,J. Arce,33,https://cdn.sofifa.org/players/4/19/175393.png,Bolivia,https://cdn.sofifa.org/flags/53.png,68,68,-,https://cdn.sofifa.org/flags/53.png,0.0,0.0,1664,Left,1.0,3.0,3.0,High/ Low,Lean,No,,,,,,5'9,154lbs,,,,,,,,,,,,,,,,,,,,,,,,,,,64.0,73.0,65.0,64.0,52.0,67.0,40.0,36.0,50.0,70.0,71.0,74.0,73.0,61.0,75.0,61.0,63.0,73.0,41.0,61.0,48.0,36.0,67.0,63.0,69.0,67.0,12.0,34.0,33.0,16.0,13.0,15.0,16.0,8.0,0.0
7922,7922,195905,L. Gutiérrez,33,https://cdn.sofifa.org/players/4/19/195905.png,Bolivia,https://cdn.sofifa.org/flags/53.png,67,67,-,https://cdn.sofifa.org/flags/53.png,0.0,0.0,1619,Right,1.0,3.0,2.0,Medium/ Medium,Normal,No,,,,,,5'11,190lbs,,,,,,,,,,,,,,,,,,,,,,,,,,,59.0,39.0,59.0,33.0,37.0,44.0,48.0,40.0,35.0,47.0,64.0,61.0,68.0,68.0,60.0,51.0,72.0,78.0,78.0,47.0,76.0,62.0,49.0,45.0,42.0,54.0,72.0,71.0,64.0,11.0,7.0,8.0,12.0,12.0,0.0
9905,9905,226044,R. Vargas,23,https://cdn.sofifa.org/players/4/19/226044.png,Bolivia,https://cdn.sofifa.org/flags/53.png,66,69,-,https://cdn.sofifa.org/flags/53.png,0.0,0.0,1632,Right,1.0,4.0,3.0,High/ Low,Normal,No,,,,,,5'7,143lbs,,,,,,,,,,,,,,,,,,,,,,,,,,,52.0,70.0,54.0,57.0,63.0,74.0,57.0,41.0,53.0,72.0,71.0,73.0,79.0,63.0,91.0,62.0,75.0,80.0,33.0,59.0,26.0,17.0,70.0,56.0,67.0,64.0,19.0,24.0,23.0,13.0,11.0,11.0,7.0,9.0,0.0
10628,10628,216751,D. Bejarano,26,https://cdn.sofifa.org/players/4/19/216751.png,Bolivia,https://cdn.sofifa.org/flags/53.png,65,66,-,https://cdn.sofifa.org/flags/53.png,0.0,0.0,1536,Right,1.0,2.0,2.0,Medium/ Medium,Normal,No,,,,,,5'9,154lbs,,,,,,,,,,,,,,,,,,,,,,,,,,,72.0,48.0,44.0,66.0,31.0,57.0,31.0,29.0,64.0,59.0,68.0,61.0,54.0,65.0,76.0,24.0,58.0,56.0,47.0,29.0,57.0,63.0,38.0,32.0,39.0,57.0,68.0,69.0,68.0,14.0,12.0,11.0,14.0,12.0,0.0
16450,16450,193911,S. Paul,31,https://cdn.sofifa.org/players/4/19/193911.png,India,https://cdn.sofifa.org/flags/159.png,57,57,-,https://cdn.sofifa.org/flags/159.png,0.0,0.0,1032,Right,1.0,3.0,1.0,Medium/ Medium,Normal,No,,,,,,6'1,172lbs,,,,,,,,,,,,,,,,,,,,,,,,,,,15.0,20.0,15.0,23.0,17.0,14.0,15.0,12.0,22.0,13.0,56.0,46.0,65.0,65.0,46.0,13.0,69.0,32.0,33.0,16.0,28.0,23.0,12.0,27.0,16.0,52.0,12.0,15.0,12.0,53.0,48.0,62.0,57.0,60.0,0.0
16539,16539,245167,L. Lalruatthara,23,https://cdn.sofifa.org/players/4/19/245167.png,India,https://cdn.sofifa.org/flags/159.png,57,63,-,https://cdn.sofifa.org/flags/159.png,0.0,0.0,1410,Left,1.0,4.0,2.0,High/ Medium,Lean,No,,,,,,5'11,143lbs,,,,,,,,,,,,,,,,,,,,,,,,,,,51.0,33.0,47.0,28.0,31.0,51.0,32.0,34.0,24.0,44.0,78.0,82.0,70.0,53.0,74.0,24.0,56.0,54.0,47.0,29.0,52.0,58.0,49.0,37.0,38.0,57.0,60.0,61.0,57.0,15.0,12.0,11.0,6.0,12.0,0.0
16793,16793,228192,E. Lyngdoh,31,https://cdn.sofifa.org/players/4/19/228192.png,India,https://cdn.sofifa.org/flags/159.png,56,56,-,https://cdn.sofifa.org/flags/159.png,0.0,0.0,1613,Right,1.0,3.0,2.0,Medium/ Medium,Lean,No,,,,,,5'9,150lbs,,,,,,,,,,,,,,,,,,,,,,,,,,,53.0,47.0,39.0,57.0,56.0,57.0,73.0,70.0,51.0,64.0,67.0,66.0,81.0,56.0,84.0,63.0,57.0,70.0,54.0,48.0,33.0,43.0,41.0,53.0,59.0,63.0,43.0,48.0,32.0,7.0,8.0,9.0,15.0,9.0,0.0
17129,17129,228198,J. Singh,26,https://cdn.sofifa.org/players/4/19/228198.png,India,https://cdn.sofifa.org/flags/159.png,55,58,-,https://cdn.sofifa.org/flags/159.png,0.0,0.0,1466,Right,1.0,4.0,2.0,High/ Medium,Lean,No,,,,,,5'7,159lbs,,,,,,,,,,,,,,,,,,,,,,,,,,,47.0,51.0,40.0,50.0,45.0,46.0,48.0,59.0,35.0,53.0,86.0,82.0,77.0,51.0,80.0,68.0,53.0,66.0,59.0,52.0,32.0,12.0,49.0,40.0,65.0,42.0,26.0,18.0,13.0,15.0,14.0,8.0,10.0,16.0,0.0
17339,17339,233526,S. Passi,23,https://cdn.sofifa.org/players/4/19/233526.png,India,https://cdn.sofifa.org/flags/159.png,54,63,-,https://cdn.sofifa.org/flags/159.png,0.0,0.0,1321,Right,1.0,3.0,2.0,Medium/ Low,Normal,No,,,,,,5'9,143lbs,,,,,,,,,,,,,,,,,,,,,,,,,,,35.0,56.0,49.0,38.0,38.0,53.0,37.0,33.0,33.0,43.0,66.0,68.0,57.0,49.0,58.0,50.0,55.0,59.0,62.0,47.0,39.0,34.0,57.0,43.0,58.0,45.0,14.0,23.0,21.0,8.0,6.0,13.0,9.0,10.0,0.0
17436,17436,236452,D. Lalhlimpuia,20,https://cdn.sofifa.org/players/4/19/236452.png,India,https://cdn.sofifa.org/flags/159.png,54,67,-,https://cdn.sofifa.org/flags/159.png,0.0,0.0,1270,Right,1.0,3.0,2.0,Medium/ Medium,Normal,No,,,,,,6'0,168lbs,,,,,,,,,,,,,,,,,,,,,,,,,,,25.0,65.0,48.0,38.0,48.0,47.0,33.0,30.0,31.0,52.0,53.0,58.0,59.0,51.0,59.0,51.0,65.0,50.0,58.0,50.0,33.0,18.0,48.0,40.0,55.0,46.0,26.0,17.0,13.0,7.0,8.0,12.0,11.0,11.0,0.0
17539,17539,234508,C. Singh,21,https://cdn.sofifa.org/players/4/19/234508.png,India,https://cdn.sofifa.org/flags/159.png,53,62,-,https://cdn.sofifa.org/flags/159.png,0.0,0.0,1247,Right,1.0,3.0,2.0,High/ Medium,Lean,No,,,,,,6'3,174lbs,,,,,,,,,,,,,,,,,,,,,,,,,,,22.0,21.0,48.0,36.0,20.0,38.0,21.0,27.0,30.0,29.0,71.0,73.0,62.0,48.0,48.0,31.0,71.0,58.0,76.0,22.0,44.0,48.0,26.0,32.0,38.0,41.0,56.0,49.0,53.0,12.0,9.0,6.0,14.0,8.0,0.0
